Year,Region,Demand
2013,Downtown Toronto,249581
2013,East York,172730
2013,Etobicoke,285764
2013,Mississauga East,255427
2013,North Toronto,263276
2013,North York,316579
2013,Scarborough East,281067
2014,Downtown Toronto,262099
2014,East York,180925
2014,Etobicoke,300093
2014,Mississauga East,268385
2014,North Toronto,276262
2014,North York,332967
2014,Scarborough East,294825
2015,Downtown Toronto,275303
2015,East York,190090
2015,Etobicoke,315534
2015,Mississauga East,281839
2015,North Toronto,289976
2015,North York,349748
2015,Scarborough East,309148
2016,Downtown Toronto,288823
2016,East York,199759
2016,Etobicoke,331551
2016,Mississauga East,296252
2016,North Toronto,304239
2016,North York,367578
2016,Scarborough East,324078
2017,Downtown Toronto,302692
2017,East York,209598
2017,Etobicoke,348169
2017,Mississauga East,310699
2017,North Toronto,318926
2017,North York,386781
2017,Scarborough East,340914
2018,Downtown Toronto,317722
2018,East York,220554
2018,Etobicoke,365732
2018,Mississauga East,326359
2018,North Toronto,334929
2018,North York,406842
2018,Scarborough East,357786
2019,Downtown Toronto,333657
2019,East York,231261
2019,Etobicoke,384141
2019,Mississauga East,342453
2019,North Toronto,351541
2019,North York,426787
2019,Scarborough East,375518
2020,Downtown Toronto,350751
2020,East York,242835
2020,Etobicoke,403922
2020,Mississauga East,359278
2020,North Toronto,368544
2020,North York,448531
2020,Scarborough East,393824
2021,Downtown Toronto,368710
2021,East York,254931
2021,Etobicoke,424035
2021,Mississauga East,377033
2021,North Toronto,387142
2021,North York,470890
2021,Scarborough East,413821
2022,Downtown Toronto,387003
2022,East York,268068
2022,Etobicoke,445369
2022,Mississauga East,395768
2022,North Toronto,406148
2022,North York,494386
2022,Scarborough East,433845
